,itemFilter,item,manu,descr,stockQty,firmName,link,quantity,price
0,FDP085N10A,FDP085N10A-F102,onsemi,"MOSFET, N-CH, 100V, 96A, TO-220",2,element14 Asia-Pacific Authorized Distributor,http://analytics.supplyframe.com/trackingservlet/track/?r=mk39-BIyByk9P2gCOsCTg-h0Fm8B84J40opc2rfu4DBBagjj3uSiViYknSeTTwW1nW41_tQpnbbCy9y7f-9Qxi34d-NKDUTylF3JyVjQuONxP-O4m6lEvyn_oKE3ZiDSg5bJMhAANpAGQ39tuRSKSZNYTHKQyAQx801qL5C6QakH6lvk5mklFZlU8bbt8fyB5mwKb9bw25r-aoApbhLtV30El5ofsuB8kswXuDURX5iGAJSbIzYgsBVhbA4PFC1-6pTOTkvH8FrqVCcRSadiXH1ks3f8ucL2KwLI3y-yWEePJk0aGL94xR41d5EEcOY3,800,$1.5800
1,FDP085N10A,FDP085N10A-F102,onsemi,"MOSFET, N-CH, 100V, 96A, TO-220",2,element14 Asia-Pacific Authorized Distributor,http://analytics.supplyframe.com/trackingservlet/track/?r=mk39-BIyByk9P2gCOsCTg-h0Fm8B84J40opc2rfu4DBBagjj3uSiViYknSeTTwW1nW41_tQpnbbCy9y7f-9Qxi34d-NKDUTylF3JyVjQuONxP-O4m6lEvyn_oKE3ZiDSg5bJMhAANpAGQ39tuRSKSZNYTHKQyAQx801qL5C6QakH6lvk5mklFZlU8bbt8fyB5mwKb9bw25r-aoApbhLtV30El5ofsuB8kswXuDURX5iGAJSbIzYgsBVhbA4PFC1-6pTOTkvH8FrqVCcRSadiXH1ks3f8ucL2KwLI3y-yWEePJk0aGL94xR41d5EEcOY3,500,$1.9265
2,FDP085N10A,FDP085N10A-F102,onsemi,"MOSFET, N-CH, 100V, 96A, TO-220",2,element14 Asia-Pacific Authorized Distributor,http://analytics.supplyframe.com/trackingservlet/track/?r=mk39-BIyByk9P2gCOsCTg-h0Fm8B84J40opc2rfu4DBBagjj3uSiViYknSeTTwW1nW41_tQpnbbCy9y7f-9Qxi34d-NKDUTylF3JyVjQuONxP-O4m6lEvyn_oKE3ZiDSg5bJMhAANpAGQ39tuRSKSZNYTHKQyAQx801qL5C6QakH6lvk5mklFZlU8bbt8fyB5mwKb9bw25r-aoApbhLtV30El5ofsuB8kswXuDURX5iGAJSbIzYgsBVhbA4PFC1-6pTOTkvH8FrqVCcRSadiXH1ks3f8ucL2KwLI3y-yWEePJk0aGL94xR41d5EEcOY3,100,$2.3423
3,FDP085N10A,FDP085N10A-F102,onsemi,"MOSFET, N-CH, 100V, 96A, TO-220",2,element14 Asia-Pacific Authorized Distributor,http://analytics.supplyframe.com/trackingservlet/track/?r=mk39-BIyByk9P2gCOsCTg-h0Fm8B84J40opc2rfu4DBBagjj3uSiViYknSeTTwW1nW41_tQpnbbCy9y7f-9Qxi34d-NKDUTylF3JyVjQuONxP-O4m6lEvyn_oKE3ZiDSg5bJMhAANpAGQ39tuRSKSZNYTHKQyAQx801qL5C6QakH6lvk5mklFZlU8bbt8fyB5mwKb9bw25r-aoApbhLtV30El5ofsuB8kswXuDURX5iGAJSbIzYgsBVhbA4PFC1-6pTOTkvH8FrqVCcRSadiXH1ks3f8ucL2KwLI3y-yWEePJk0aGL94xR41d5EEcOY3,25,$2.7584
4,FDP085N10A,FDP085N10A-F102,onsemi,"MOSFET, N-CH, 100V, 96A, TO-220",2,element14 Asia-Pacific Authorized Distributor,http://analytics.supplyframe.com/trackingservlet/track/?r=mk39-BIyByk9P2gCOsCTg-h0Fm8B84J40opc2rfu4DBBagjj3uSiViYknSeTTwW1nW41_tQpnbbCy9y7f-9Qxi34d-NKDUTylF3JyVjQuONxP-O4m6lEvyn_oKE3ZiDSg5bJMhAANpAGQ39tuRSKSZNYTHKQyAQx801qL5C6QakH6lvk5mklFZlU8bbt8fyB5mwKb9bw25r-aoApbhLtV30El5ofsuB8kswXuDURX5iGAJSbIzYgsBVhbA4PFC1-6pTOTkvH8FrqVCcRSadiXH1ks3f8ucL2KwLI3y-yWEePJk0aGL94xR41d5EEcOY3,10,$2.9108
5,FDP085N10A,FDP085N10A-F102,onsemi,"MOSFET, N-CH, 100V, 96A, TO-220",2,element14 Asia-Pacific Authorized Distributor,http://analytics.supplyframe.com/trackingservlet/track/?r=mk39-BIyByk9P2gCOsCTg-h0Fm8B84J40opc2rfu4DBBagjj3uSiViYknSeTTwW1nW41_tQpnbbCy9y7f-9Qxi34d-NKDUTylF3JyVjQuONxP-O4m6lEvyn_oKE3ZiDSg5bJMhAANpAGQ39tuRSKSZNYTHKQyAQx801qL5C6QakH6lvk5mklFZlU8bbt8fyB5mwKb9bw25r-aoApbhLtV30El5ofsuB8kswXuDURX5iGAJSbIzYgsBVhbA4PFC1-6pTOTkvH8FrqVCcRSadiXH1ks3f8ucL2KwLI3y-yWEePJk0aGL94xR41d5EEcOY3,1,$3.2293
6,FDP085N10A,FDP085N10A-F102,onsemi,MOSFET 100V N-CHANNEL POWERTRENCH MOSFET,18,Mouser Electronics ECIA (NEDA) Member • Authorized Distributor,http://analytics.supplyframe.com/trackingservlet/track/?r=mk39-BIyByk9P2gCOsCTg0s8FUKZgM5rJugkYW1NY7qRObL5oZAXHHIl3cdl2uRgzw_HYYHxHl4gqRtB6mQLqyYv6ENsgD8sE1xJIO-OaV9qRMnoPNfRWwAGqiPVyn19YFiUR37R2TLZvzHzsz8I_i-gcZF0DnjUJZP6Vjnc0IXwJtgE3BYIHbe5Vsx3_fPj_CTzB-EnazVBhi8QE5_XOEHWypAPK5HO-qFzYedBLcNoDaaR-gwA2sJzEUcpgTKESfM1zeGo90puEhnVcK6ip0mHF8_wT4V6wG24pkS5XqXcVLcPG4zTEdFckjNxrSZwQU5rhFNXtj1WxM7PWM-UpzDTms7B_gQc2qaNzD4fhuXNXi0E9KJa6hQs0U6umfnnUv3XYmhIXOIbisfoi5yMPg,1,$3.0200
7,FDP085N10A,FDP085N10A-F102,onsemi,MOSFET 100V N-CHANNEL POWERTRENCH MOSFET,18,Mouser Electronics ECIA (NEDA) Member • Authorized Distributor,http://analytics.supplyframe.com/trackingservlet/track/?r=mk39-BIyByk9P2gCOsCTg0s8FUKZgM5rJugkYW1NY7qRObL5oZAXHHIl3cdl2uRgzw_HYYHxHl4gqRtB6mQLqyYv6ENsgD8sE1xJIO-OaV9qRMnoPNfRWwAGqiPVyn19YFiUR37R2TLZvzHzsz8I_i-gcZF0DnjUJZP6Vjnc0IXwJtgE3BYIHbe5Vsx3_fPj_CTzB-EnazVBhi8QE5_XOEHWypAPK5HO-qFzYedBLcNoDaaR-gwA2sJzEUcpgTKESfM1zeGo90puEhnVcK6ip0mHF8_wT4V6wG24pkS5XqXcVLcPG4zTEdFckjNxrSZwQU5rhFNXtj1WxM7PWM-UpzDTms7B_gQc2qaNzD4fhuXNXi0E9KJa6hQs0U6umfnnUv3XYmhIXOIbisfoi5yMPg,10,$2.7300
8,FDP085N10A,FDP085N10A-F102,onsemi,MOSFET 100V N-CHANNEL POWERTRENCH MOSFET,18,Mouser Electronics ECIA (NEDA) Member • Authorized Distributor,http://analytics.supplyframe.com/trackingservlet/track/?r=mk39-BIyByk9P2gCOsCTg0s8FUKZgM5rJugkYW1NY7qRObL5oZAXHHIl3cdl2uRgzw_HYYHxHl4gqRtB6mQLqyYv6ENsgD8sE1xJIO-OaV9qRMnoPNfRWwAGqiPVyn19YFiUR37R2TLZvzHzsz8I_i-gcZF0DnjUJZP6Vjnc0IXwJtgE3BYIHbe5Vsx3_fPj_CTzB-EnazVBhi8QE5_XOEHWypAPK5HO-qFzYedBLcNoDaaR-gwA2sJzEUcpgTKESfM1zeGo90puEhnVcK6ip0mHF8_wT4V6wG24pkS5XqXcVLcPG4zTEdFckjNxrSZwQU5rhFNXtj1WxM7PWM-UpzDTms7B_gQc2qaNzD4fhuXNXi0E9KJa6hQs0U6umfnnUv3XYmhIXOIbisfoi5yMPg,25,$2.5700
9,FDP085N10A,FDP085N10A-F102,onsemi,MOSFET 100V N-CHANNEL POWERTRENCH MOSFET,18,Mouser Electronics ECIA (NEDA) Member • Authorized Distributor,http://analytics.supplyframe.com/trackingservlet/track/?r=mk39-BIyByk9P2gCOsCTg0s8FUKZgM5rJugkYW1NY7qRObL5oZAXHHIl3cdl2uRgzw_HYYHxHl4gqRtB6mQLqyYv6ENsgD8sE1xJIO-OaV9qRMnoPNfRWwAGqiPVyn19YFiUR37R2TLZvzHzsz8I_i-gcZF0DnjUJZP6Vjnc0IXwJtgE3BYIHbe5Vsx3_fPj_CTzB-EnazVBhi8QE5_XOEHWypAPK5HO-qFzYedBLcNoDaaR-gwA2sJzEUcpgTKESfM1zeGo90puEhnVcK6ip0mHF8_wT4V6wG24pkS5XqXcVLcPG4zTEdFckjNxrSZwQU5rhFNXtj1WxM7PWM-UpzDTms7B_gQc2qaNzD4fhuXNXi0E9KJa6hQs0U6umfnnUv3XYmhIXOIbisfoi5yMPg,100,$2.1900
10,FDP085N10A,FDP085N10A-F102,onsemi,MOSFET 100V N-CHANNEL POWERTRENCH MOSFET,18,Mouser Electronics ECIA (NEDA) Member • Authorized Distributor,http://analytics.supplyframe.com/trackingservlet/track/?r=mk39-BIyByk9P2gCOsCTg0s8FUKZgM5rJugkYW1NY7qRObL5oZAXHHIl3cdl2uRgzw_HYYHxHl4gqRtB6mQLqyYv6ENsgD8sE1xJIO-OaV9qRMnoPNfRWwAGqiPVyn19YFiUR37R2TLZvzHzsz8I_i-gcZF0DnjUJZP6Vjnc0IXwJtgE3BYIHbe5Vsx3_fPj_CTzB-EnazVBhi8QE5_XOEHWypAPK5HO-qFzYedBLcNoDaaR-gwA2sJzEUcpgTKESfM1zeGo90puEhnVcK6ip0mHF8_wT4V6wG24pkS5XqXcVLcPG4zTEdFckjNxrSZwQU5rhFNXtj1WxM7PWM-UpzDTms7B_gQc2qaNzD4fhuXNXi0E9KJa6hQs0U6umfnnUv3XYmhIXOIbisfoi5yMPg,500,$1.8000
11,FDP085N10A,FDP085N10A-F102,onsemi,MOSFET 100V N-CHANNEL POWERTRENCH MOSFET,18,Mouser Electronics ECIA (NEDA) Member • Authorized Distributor,http://analytics.supplyframe.com/trackingservlet/track/?r=mk39-BIyByk9P2gCOsCTg0s8FUKZgM5rJugkYW1NY7qRObL5oZAXHHIl3cdl2uRgzw_HYYHxHl4gqRtB6mQLqyYv6ENsgD8sE1xJIO-OaV9qRMnoPNfRWwAGqiPVyn19YFiUR37R2TLZvzHzsz8I_i-gcZF0DnjUJZP6Vjnc0IXwJtgE3BYIHbe5Vsx3_fPj_CTzB-EnazVBhi8QE5_XOEHWypAPK5HO-qFzYedBLcNoDaaR-gwA2sJzEUcpgTKESfM1zeGo90puEhnVcK6ip0mHF8_wT4V6wG24pkS5XqXcVLcPG4zTEdFckjNxrSZwQU5rhFNXtj1WxM7PWM-UpzDTms7B_gQc2qaNzD4fhuXNXi0E9KJa6hQs0U6umfnnUv3XYmhIXOIbisfoi5yMPg,800,$1.4900
12,FDP085N10A,FDP085N10A-F102,onsemi,MOSFET 100V N-CHANNEL POWERTRENCH MOSFET,18,Mouser Electronics ECIA (NEDA) Member • Authorized Distributor,http://analytics.supplyframe.com/trackingservlet/track/?r=mk39-BIyByk9P2gCOsCTg0s8FUKZgM5rJugkYW1NY7qRObL5oZAXHHIl3cdl2uRgzw_HYYHxHl4gqRtB6mQLqyYv6ENsgD8sE1xJIO-OaV9qRMnoPNfRWwAGqiPVyn19YFiUR37R2TLZvzHzsz8I_i-gcZF0DnjUJZP6Vjnc0IXwJtgE3BYIHbe5Vsx3_fPj_CTzB-EnazVBhi8QE5_XOEHWypAPK5HO-qFzYedBLcNoDaaR-gwA2sJzEUcpgTKESfM1zeGo90puEhnVcK6ip0mHF8_wT4V6wG24pkS5XqXcVLcPG4zTEdFckjNxrSZwQU5rhFNXtj1WxM7PWM-UpzDTms7B_gQc2qaNzD4fhuXNXi0E9KJa6hQs0U6umfnnUv3XYmhIXOIbisfoi5yMPg,2400,$1.4400
13,FDP085N10A,FDP085N10A-F102,onsemi,"MOSFET, N-CH, 100V, 96A, TO-220, Transistor Polarity:N Channel, Continuous Drain Current Id:96A, ... more",2,Newark Authorized Distributor,http://analytics.supplyframe.com/trackingservlet/track/?r=mk39-BIyByk9P2gCOsCTg1v9KMhbL_bWNOAZmVw7wfiRObL5oZAXHHIl3cdl2uRgzw_HYYHxHl4gqRtB6mQLq0L4uATKtGQ_9yxKu6FMf7dzB4oI3sfmT5WxyAw0RMU7kIF7bWSJHDlG6iLRbIbxnbMi5Es_f8r7V-Ajy2YoTIHNYdKmlrvQDEp-YthABKoQYgkqZUv-08m8YnsVchfEqYII9Q7fKpH8W853Ggr10oNNpI_qfPfxxKL8Ad0dmAnROeFgO0zEbgX-tkViB8_f7uz3AHY2LfGncK_azcw8P-8,1000,$1.5600
14,FDP085N10A,FDP085N10A-F102,onsemi,"MOSFET, N-CH, 100V, 96A, TO-220, Transistor Polarity:N Channel, Continuous Drain Current Id:96A, ... more",2,Newark Authorized Distributor,http://analytics.supplyframe.com/trackingservlet/track/?r=mk39-BIyByk9P2gCOsCTg1v9KMhbL_bWNOAZmVw7wfiRObL5oZAXHHIl3cdl2uRgzw_HYYHxHl4gqRtB6mQLq0L4uATKtGQ_9yxKu6FMf7dzB4oI3sfmT5WxyAw0RMU7kIF7bWSJHDlG6iLRbIbxnbMi5Es_f8r7V-Ajy2YoTIHNYdKmlrvQDEp-YthABKoQYgkqZUv-08m8YnsVchfEqYII9Q7fKpH8W853Ggr10oNNpI_qfPfxxKL8Ad0dmAnROeFgO0zEbgX-tkViB8_f7uz3AHY2LfGncK_azcw8P-8,500,$1.9100
15,FDP085N10A,FDP085N10A-F102,onsemi,"MOSFET, N-CH, 100V, 96A, TO-220, Transistor Polarity:N Channel, Continuous Drain Current Id:96A, ... more",2,Newark Authorized Distributor,http://analytics.supplyframe.com/trackingservlet/track/?r=mk39-BIyByk9P2gCOsCTg1v9KMhbL_bWNOAZmVw7wfiRObL5oZAXHHIl3cdl2uRgzw_HYYHxHl4gqRtB6mQLq0L4uATKtGQ_9yxKu6FMf7dzB4oI3sfmT5WxyAw0RMU7kIF7bWSJHDlG6iLRbIbxnbMi5Es_f8r7V-Ajy2YoTIHNYdKmlrvQDEp-YthABKoQYgkqZUv-08m8YnsVchfEqYII9Q7fKpH8W853Ggr10oNNpI_qfPfxxKL8Ad0dmAnROeFgO0zEbgX-tkViB8_f7uz3AHY2LfGncK_azcw8P-8,100,$2.3300
16,FDP085N10A,FDP085N10A-F102,onsemi,"MOSFET, N-CH, 100V, 96A, TO-220, Transistor Polarity:N Channel, Continuous Drain Current Id:96A, ... more",2,Newark Authorized Distributor,http://analytics.supplyframe.com/trackingservlet/track/?r=mk39-BIyByk9P2gCOsCTg1v9KMhbL_bWNOAZmVw7wfiRObL5oZAXHHIl3cdl2uRgzw_HYYHxHl4gqRtB6mQLq0L4uATKtGQ_9yxKu6FMf7dzB4oI3sfmT5WxyAw0RMU7kIF7bWSJHDlG6iLRbIbxnbMi5Es_f8r7V-Ajy2YoTIHNYdKmlrvQDEp-YthABKoQYgkqZUv-08m8YnsVchfEqYII9Q7fKpH8W853Ggr10oNNpI_qfPfxxKL8Ad0dmAnROeFgO0zEbgX-tkViB8_f7uz3AHY2LfGncK_azcw8P-8,10,$2.8900
17,FDP085N10A,FDP085N10A-F102,onsemi,"MOSFET, N-CH, 100V, 96A, TO-220, Transistor Polarity:N Channel, Continuous Drain Current Id:96A, ... more",2,Newark Authorized Distributor,http://analytics.supplyframe.com/trackingservlet/track/?r=mk39-BIyByk9P2gCOsCTg1v9KMhbL_bWNOAZmVw7wfiRObL5oZAXHHIl3cdl2uRgzw_HYYHxHl4gqRtB6mQLq0L4uATKtGQ_9yxKu6FMf7dzB4oI3sfmT5WxyAw0RMU7kIF7bWSJHDlG6iLRbIbxnbMi5Es_f8r7V-Ajy2YoTIHNYdKmlrvQDEp-YthABKoQYgkqZUv-08m8YnsVchfEqYII9Q7fKpH8W853Ggr10oNNpI_qfPfxxKL8Ad0dmAnROeFgO0zEbgX-tkViB8_f7uz3AHY2LfGncK_azcw8P-8,1,$3.2000
18,74LVCH2T45DC,74LVCH2T45DC-Q100125,Nexperia,NOW NEXPERIA 74LVCH2T45DC-Q100 B,"3000
In Stock",Digi-Key ECIA (NEDA) Member • Authorized Distributor,http://analytics.supplyframe.com/trackingservlet/track/?r=mk39-BIyByk9P2gCOsCTg5In0CsU7Hy-Pg7BQJoKC-eRObL5oZAXHHIl3cdl2uRgzw_HYYHxHl4gqRtB6mQLq5YibLHtsbJD0JGBYPDJbSlH74B0mus3PjyQCN7rUbMrmQnbN-QfGLIvLNzCRSvuQZLvEipIOzWz3yXHCfmcJqHB6W3r3h0WkqrJ5LJIr_4TUNne5T3vf8dXf1-VDd8GTVcV0-73nviaGKhS-fFrzR917CSxPkJ9HLufp-eW8gYHzr9w_urm3ZtkNqjk6GsHFGqUxduAA3wYMs7K3NVVRfUzribNgMSESv2I8wEal_ylBfOOAeIVdxg-1br5PlOECnsJXuNysmyOFCTD_1HAuSQ,1143,$0.2600
19,74LVCH2T45DC,"74LVCH2T45DC,125",Nexperia,"TRANSLATING TRANSCEIVER, -40 TO 125DEG C",691,element14 Asia-Pacific Authorized Distributor,http://analytics.supplyframe.com/trackingservlet/track/?r=mk39-BIyByk9P2gCOsCTg-h0Fm8B84J40opc2rfu4DBBagjj3uSiViYknSeTTwW1nW41_tQpnbbCy9y7f-9Qxi34d-NKDUTylF3JyVjQuONxP-O4m6lEvyn_oKE3ZiDSg5bJMhAANpAGQ39tuRSKSTDuCwP9w2uGMpVC3jY6gbsL-U73vClyGjPleBjfVck-JXja3hOWcTN1Jt04KJV_zQ_DJqGsXdDKmyzeSFAJ1R_4N3nREHbT1lGW2UTlT_RHFsqiLr4wMrAwzk-QxrxIn6W0QH8wy6Juxa_uuLW4ae2PJk0aGL94xR41d5EEcOY3,1000,$0.3229
20,74LVCH2T45DC,"74LVCH2T45DC,125",Nexperia,"TRANSLATING TRANSCEIVER, -40 TO 125DEG C",691,element14 Asia-Pacific Authorized Distributor,http://analytics.supplyframe.com/trackingservlet/track/?r=mk39-BIyByk9P2gCOsCTg-h0Fm8B84J40opc2rfu4DBBagjj3uSiViYknSeTTwW1nW41_tQpnbbCy9y7f-9Qxi34d-NKDUTylF3JyVjQuONxP-O4m6lEvyn_oKE3ZiDSg5bJMhAANpAGQ39tuRSKSTDuCwP9w2uGMpVC3jY6gbsL-U73vClyGjPleBjfVck-JXja3hOWcTN1Jt04KJV_zQ_DJqGsXdDKmyzeSFAJ1R_4N3nREHbT1lGW2UTlT_RHFsqiLr4wMrAwzk-QxrxIn6W0QH8wy6Juxa_uuLW4ae2PJk0aGL94xR41d5EEcOY3,500,$0.3479
21,74LVCH2T45DC,"74LVCH2T45DC,125",Nexperia,"TRANSLATING TRANSCEIVER, -40 TO 125DEG C",691,element14 Asia-Pacific Authorized Distributor,http://analytics.supplyframe.com/trackingservlet/track/?r=mk39-BIyByk9P2gCOsCTg-h0Fm8B84J40opc2rfu4DBBagjj3uSiViYknSeTTwW1nW41_tQpnbbCy9y7f-9Qxi34d-NKDUTylF3JyVjQuONxP-O4m6lEvyn_oKE3ZiDSg5bJMhAANpAGQ39tuRSKSTDuCwP9w2uGMpVC3jY6gbsL-U73vClyGjPleBjfVck-JXja3hOWcTN1Jt04KJV_zQ_DJqGsXdDKmyzeSFAJ1R_4N3nREHbT1lGW2UTlT_RHFsqiLr4wMrAwzk-QxrxIn6W0QH8wy6Juxa_uuLW4ae2PJk0aGL94xR41d5EEcOY3,250,$0.4111
